BD01	3532214.399	383402.773	651.987
BD02	3532010.617	387199.787	640.009
BD03	3532843.816	390882.274	701.599
BD04	3528983.601	385560.557	403.074
BD05	3529091.455	388634.735	640.856
BD06	3521670.992	384437.383	532.314
BD07	3520162.196	389380.021	596.523
BD08	3519988.442	380133.296	423.868
BD09	3519631.93	385443.495	539.199
BD10	3515598.001	387575.642	539.602
BD11	3515878.611	384267.149	344.413
BD12	3526572.146	384263.497	401.675
BD13	3516934.476	391484.544	349.144
BD14	3514515.626	393429.361	400.985
BD15	3516464.64	393237.742	319.668
BG02	3518180.067	392103.983	463.757
BG03	3526588.952	390078.345	473.868
BG04	3523738.698	387869.914	654.558
BG05	3526982.74	387322.295	579.861
BG06	3524635.67	381944.599	469.663
BG07	3526932.092	381727.682	412.92
BG08	3527615.388	382387.905	448.409
BG11	3525019.462	373581.365	528.564
BG13	3520716.551	371461.353	388.427
BG14	3519560.767	372371.445	434.902
