BD01	3532214.3990	383402.7730	3532165.6679	383440.9646
BD02	3532010.6170	387199.7870	3531962.0562	387238.3493
BD03	3532843.8160	390882.2740	3532795.5182	390921.1444
BD04	3528983.6010	385560.5570	3528934.6709	385599.1148
BD05	3529091.4550	388634.7350	3529042.6887	388673.5794
BD06	3521670.9920	384437.3830	3521621.3115	384476.1994
BD07	3520162.1960	389380.0210	3520112.6190	389419.3821
BD08	3519988.4420	380133.2960	3519938.3867	380171.7877
BD09	3519631.9300	385443.4950	3519582.1061	385482.5088
BD10	3515598.0010	387575.6420	3515547.9005	387615.0597
BD11	3515878.6110	384267.1490	3515828.3719	384306.2385
BD12	3526572.1460	384263.4970	3526522.9222	384302.0521
BD13	3516934.4760	391484.5440	3516884.6976	391524.2661
BD14	3514515.6260	393429.3610	3514465.7151	393469.3886
BD15	3516464.6400	393237.7420	3516414.9046	393277.6540
BG02	3518180.0670	392103.9830	3518130.4379	392143.7017
BG03	3526588.9520	390078.3450	3526540.0201	390117.4514
BG04	3523738.6980	387869.9140	3523689.3852	387908.9531
BG05	3526982.7400	387322.2950	3526933.7079	387361.1200
BG06	3524635.6700	381944.5990	3524586.1465	381983.0306
BG07	3526932.0920	381727.6820	3526882.7757	381765.9783
BG08	3527615.3880	382387.9050	3527566.1695	382426.2299
BG11	3525019.4620	373581.3650	3524969.5572	373618.9833
BG13	3520716.5510	371461.3530	3520666.1318	371498.9849
BG14	3519560.7670	372371.4450	3519510.2835	372409.2211
