BD01	3532214.3990	383402.7730	3532165.7590	383441.0070
BD02	3532010.6170	387199.7870	3531962.0500	387238.4120
BD03	3532843.8160	390882.2740	3532795.4120	390921.2130
BD04	3528983.6010	385560.5570	3528934.6880	385599.1090
BD05	3529091.4550	388634.7350	3529042.6550	388673.5800
BD06	3521670.9920	384437.3830	3521621.2800	384476.1420
BD07	3520162.1960	389380.0210	3520112.6210	389419.3460
BD08	3519988.4420	380133.2960	3519938.2970	380171.6760
BD09	3519631.9300	385443.4950	3519582.0680	385482.4750
BD10	3515598.0010	387575.6420	3515547.8860	387615.1010
BD11	3515878.6110	384267.1490	3515828.2840	384306.2570
BD12	3526572.1460	384263.4970	3526522.9370	384302.0050
BD13	3516934.4760	391484.5440	3516884.7580	391524.2580
BD14	3514515.6260	393429.3610	3514465.8540	393469.4070
BD15	3516464.6400	393237.7420	3516415.0070	393277.6310
